Initialized
Press Enter to quit...
Connected
Frame id: 232973, timestamp: 1554657660009356, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232974, timestamp: 1554657660026770, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232975, timestamp: 1554657660044038, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232976, timestamp: 1554657660061400, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232977, timestamp: 1554657660078735, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232978, timestamp: 1554657660096059, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232979, timestamp: 1554657660113354, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232980, timestamp: 1554657660130826, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232981, timestamp: 1554657660148162, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232982, timestamp: 1554657660165504, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232983, timestamp: 1554657660182789, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232984, timestamp: 1554657660200205, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232985, timestamp: 1554657660217515, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232986, timestamp: 1554657660234819, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232987, timestamp: 1554657660252107, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232988, timestamp: 1554657660269510, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232989, timestamp: 1554657660286831, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232990, timestamp: 1554657660304214, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232991, timestamp: 1554657660321501, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232992, timestamp: 1554657660338868, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232993, timestamp: 1554657660356263, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232994, timestamp: 1554657660373560, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232995, timestamp: 1554657660390938, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232996, timestamp: 1554657660408294, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232997, timestamp: 1554657660425605, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232998, timestamp: 1554657660442984, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232999, timestamp: 1554657660460298, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233000, timestamp: 1554657660477664, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233001, timestamp: 1554657660495009, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233002, timestamp: 1554657660512342, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233003, timestamp: 1554657660529710, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233004, timestamp: 1554657660546996, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233005, timestamp: 1554657660564359, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233006, timestamp: 1554657660581695, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233007, timestamp: 1554657660599024, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233008, timestamp: 1554657660616351, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233009, timestamp: 1554657660633743, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233010, timestamp: 1554657660651055, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 233011, timestamp: 1554657660668447, hands: 0, fingers: 0, tools: 0, gestures: 0
